#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B3D8BE
#Date Time: 2024-05-13 11:14:20.526
#Sample rate: 7727.98Hz
#Samples: 8000
#Trigger: Source: Channel 2 Type: Edge Condition: Rising Level: 3 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 600 mV/div Offset: 0 V Attenuation: 1 X Sample Mode: Average
#Channel 2: Range: 700 mV/div Offset: 0 V Attenuation: 1 X Sample Mode: Average
#Wavegen Channel 1: Running
#Mode: Custom
#Type: Custom1
#Frequency: 200 mHz
#Period: 5 s
#Amplitude: 500 mV
#Offset: 1.65 V
#Phase: 0 °

Time (s),Channel 1 (V),Channel 2 (V)
0.0405022,1.653468643476742,2.084804802891641
0.0406316,1.653468643476742,2.081131103117619
0.040761,1.653468643476742,2.081131103117619
0.0408904,1.653468643476742,2.081131103117619
0.0410198,1.653468643476742,2.081131103117619
0.0411492,1.653468643476742,2.081131103117619
0.0412786,1.653468643476742,2.088478502665663
0.041408,1.657155164558575,2.10317330176175
0.0415374,1.653468643476742,2.10317330176175
0.0416668,1.653468643476742,2.110520701309794
0.0417962,1.653468643476742,2.10317330176175
0.0419256,1.657155164558575,2.066436304021532
0.042055,1.653468643476742,2.048067805151423
0.0421844,1.657155164558575,2.059088904473489
0.0423138,1.657155164558575,2.070110003795554
0.0424432,1.657155164558575,2.066436304021532
0.0425726,1.653468643476742,2.077457403343598
0.042702,1.653468643476742,2.081131103117619
0.0428314,1.653468643476742,2.077457403343598
0.0429608,1.653468643476742,2.077457403343598
0.0430902,1.653468643476742,2.077457403343598
0.0432196,1.653468643476742,2.081131103117619
0.043349,1.653468643476742,2.081131103117619
0.0434784,1.653468643476742,2.073783703569576
0.0436078,1.653468643476742,2.077457403343598
0.0437372,1.653468643476742,2.081131103117619
0.0438666,1.653468643476742,2.073783703569576
0.043996,1.653468643476742,2.066436304021532
0.0441254,1.653468643476742,2.070110003795554
0.0442548,1.653468643476742,2.077457403343598
0.0443842,1.653468643476742,2.081131103117619
0.0445136,1.653468643476742,2.073783703569576
0.044643,1.653468643476742,2.06276260424751
